Parameter,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
17. Ethical Preference ,0.68***,0.67***,0.42***,0.68***,-0.30***,0.18**,-0.05,-0.02,-0.14*,-0.1,0.02,0.33***,0.08,0.28***,0.56***,0.38***,1
16. Financial Preference,0.60***,0.68***,0.37***,0.68***,-0.09,0.05,0.02,0.06,-0.08,0.1,0.06,0.14*,0.23***,0.27***,0.25***,1,
15. Health/Safety Preference ,0.71***,0.74***,0.44***,0.74***,-0.24***,0.15**,-0.02,0.02,-0.12*,0.01,-0.07,0.27***,0.28***,0.50***,1,,
14. Recreation Preference ,0.68***,0.70***,0.43***,0.70***,-0.23***,0.13*,0.05,0.09,-0.07,0.12*,-0.01,0.21***,0.38***,1,,,
13. Social Preference,0.43***,0.56***,0.22***,0.56***,0.08,0.27***,0.28***,0.27***,0.24***,0.32***,0.22***,0.09,1,,,,
12. Dominance ,0.33***,0.30***,0.35***,0.30***,-0.19***,0.47***,0.11*,0.13*,0.01,0.29***,0.30***,1,,,,,
11. Prestige,0.03,0.06,0.17**,0.06,0.05,0.45***,0.66***,0.62***,0.55***,0.46***,1,,,,,,
10. Leadership,0.08,0.13*,0.14*,0.13*,0.07,0.29***,0.42***,0.40***,0.35***,1,,,,,,,
9. UMS Affiliation,-0.12*,-0.06,-0.09,-0.06,0.19***,0.34***,0.74***,0.56***,1,,,,,,,,
8. UMS Intimacy,0.09,0.12*,0.21***,0.12*,0.03,0.27***,0.97***,1,,,,,,,,,
7. UMS Sum,0.04,0.08,0.14**,0.08,0.07,0.31***,1,,,,,,,,,,
6. B-PNI,0.17**,0.22***,0.26***,0.22***,0.04,1,,,,,,,,,,,
5. Risk Perception,-0.58,-0.23***,-0.39***,-0.23***,1,,,,,,,,,,,,
4. Risk Benefit,0.92***,1.00***,0.56***,1,,,,,,,,,,,,,
3. Risk Sum,0.62***,0.56***,1,,,,,,,,,,,,,,
2. General Expected Benefits,0.92***,1,,,,,,,,,,,,,,,
1. General Risk Preference,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
